,label,text
271,Autonomous,"The invention provides a kind of pilotless automobile transported for wounded's rescue, including pilotless automobile, unmanned rescue delivery system and long distance wireless driving platform.The unmanned rescue delivery system is arranged on pilotless automobileï¼Laser radar, camera, inertial navigation module, GPS/ Beidou navigation modules are housed on the unmanned relief car, can itself posture information of Real-time Feedback unmanned vehicle and ambient condition information.Autonomous driving device is housed so that unmanned vehicle has control car body direction, brake, throttle, the function of gear shift on unmanned relief car.Unmanned relief car has autonomous driving and remote operating both of which, and long distance wireless driving platform can carry out remote detection with control by wireless network to pilotless automobile and unmanned rescue delivery system."
272,Non-Alcohol,"A functional beverage that can be used by athletes and bodybuilders for restoring human growth hormones using an HGH precursor. The composition includes water, sweeteners, acids, gums, natural colorants, natural flavors, including pantothenic acid, chromium, copper, choline, and boron. The composition also includes selected amino acids such as L-Leucine, L-Isoleucine, L-Valine, and L-Arginine."
273,Alcohol,"The invention provides a method for preparing a yellow wine milk tea drink. The yellow wine milk tea drink is prepared from tea, milk powder, oligosaccharides, yellow wine and the like and has typical flavor of shaoxing rice wine and mellow milk tea taste. Compared with the common commercially available milk tea, the yellow wine milk tea drink has the advantages that the rich and harmonious taste of the yellow wine and milk tea is obtained, trace elements in the yellow wine are fused in the milk tea, and the nutritive value of the product is enriched. The yellow wine milk tea drink prepared by the invention is low in cost and simple in process, has wide market prospects and becomes a novel and unique post in the milk tea market."
274,Non Autonomous,"A vehicle clearance alert system includes at least one sensor or camera disposed at a vehicle and having an exterior field of view in a direction of travel of the vehicle. A control is responsive to the camera and is operable to determine a height dimension of a structure in the path of travel of the vehicle. The control is operable, responsive to (i) the determined height dimension of a structure in the path of travel of the vehicle and (ii) a height dimension of the vehicle, to determine if there is sufficient clearance between the structure and the vehicle for the vehicle to pass under the structure. Responsive to a determination that there is not sufficient clearance between the structure and the vehicle for the vehicle to pass under the structure, the alert system is operable to generate an alert to the driver of the vehicle."
275,Autonomous,"This application discloses the startup detection method, device and the system that are applied to automatic driving vehicle.One specific embodiment of the method includesï¼In response to receiving enabled instruction, the characteristic information of the bottom section of automatic driving vehicle, chassis of the bottom section including automatic driving vehicle, the ground blocked by automatic driving vehicle and the area of space between above-mentioned chassis and above-mentioned ground are obtainedï¼Whether the characteristic information of the bottom section of the automatic driving vehicle gathered when judging acquired characteristic information with the last time parking matchesï¼According to matching result, object of the bottom section with the presence or absence of influence traveling is determined.The implementation method realizes startup automatic driving vehicle to the Aulomatizeted Detect of vehicle bottom blind area, improves the security performance of automatic driving vehicle."
276,Non-Alcohol,"A silica-containing composition is disclosed. The composition comprises a compound having the following formula: (SiO2)x(OH)yMzOaF.B: wherein M is at least one of the following: boron, magnesium, aluminum, calcium, titanium, vanadium, manganese, iron, cobalt, nickel, copper, zinc, zirconium, molybdenum, palladium, silver, cadmium, tin, platinum, gold, and bismuth; wherein F optionally exists and comprises at least one of the following: a functionalized organosilane, a sulfur-containing organosilane, an amine-containing organosilane, and an alkyl-containing organosilane at a surface area coverage of about 0.01 to about 100%. The molar ratio of y/x is equal to about 0.01 to about 0.5, the molar ratio of x/z is equal to about 0.5 to about 300, and the molar ratio of a/z is dependent on the nature of the metal oxide. B comprises a hygroscopic solid and preferably comprises at least one alkaline earth oxide, lanthanide oxide, or combinations thereof."
277,Alcohol,"The invention relates to a bagged yeast wine for soaking health-care wine, which is composed of 5-25 parts of Cordyceps militaris or Cordyceps, 5-25 parts of hartshorn, 5-20 parts of adder, 5-25 parts of American ginseng, 10-30 parts of rhizoma polygonati, 10-30 parts of wolfberry fruit, 10-20 parts of tuckahoe, 10-25 parts of wild or spiny jujuba seed, 10-30 parts of Rhodiola rosea and 10-30 parts of hawthorn. Every 50-1000g of all the components are packaged in a packaging bag prepared from a nontoxic fiber fabric base or paper base by a packaging machine to obtain the finished product bagged yeast wine. When the bagged yeast wine is used for soaking the health-care wine, the wine is directly soaked in the yeast wine without opening the bag. The method is very simple, and is especially suitable for people at home. The processed bagged granular drug components can be sufficiently precipitated and dissolved, and the dissolution rate can reach 90% above. The bagged yeast wine is suitable for high/low-alcoholic-strength white wine, yellow wine, rice wine and fruit wine, is convenient, flexible, economical and practical, and has obvious effects on improving subhealth constitution and severe edema, mass proteinuria, hyperlipemia and hypoproteinemia of people."
278,Non Autonomous,"A vehicle fault determination device includes a relay, a vehicle configuration circuit, and a control section. The relay is connected to a power source. The vehicle configuration circuit is supplied with power from the power source via the relay. The control section determines whether the relay is faulty while controlling the relay and the vehicle configuration circuit. The control section includes first and second ports. The first port outputs a control signal to a coil portion of the relay. The second port is connected to a contact portion of the relay via the vehicle configuration circuit. The second port serves as an input port when the fault determination is made and as an operation port when the vehicle configuration circuit is controlled. Thus, the number of parts is keep to a minimum to increase the number of dedicated ports for determining whether the relay is faulty."
279,Autonomous,"The present invention discloses a kind of PID control method, control system and automatic guided vehicle.The PID control method comprises the following stepsï¼Obtain the span of the first controlling elementï¼Multiple sampled values are chosen in the span of first controlling elementï¼Obtain each PID parameters value corresponding to multiple sampled values of the selectionï¼The relation curve between first controlling element and the PID parameters value is generated by cubic spline interpolation using the multiple sampled value and its corresponding each described PID parameters valueï¼The first controlling element currency is measured, by the first controlling element currency substitution relation curve, the PID parameters value corresponding to the first controlling element currency is drawnï¼After the PID parameters value according to obtaining is adjusted, the control targe is automatically controlled.The PID control method can make control more convenient."
280,Non-Alcohol,"A modular infuser includes a back plate assembly containing drive mechanisms and supporting a belt assembly, and infusing and mixing chambers. The belt assembly includes rollers rotating a continuous filter belt in either direction, an annular seal, and a funnel directing liquid to a removable, rotatable spout. The infusing chamber moves between having the bottom clamped to the seal through the filter belt and being spaced apart from the filter belt to allow waste removal by rotation of the filter belt. The mixing chamber receives and mixes ingredient and water, passing the mixture into the infusing chamber below. Replacement of the filter belt with different mesh sizes and of the removable spout with different inner diameters allows the mechanism to be easily adapted for different beverages, such as coffee or tea. Multiple instances of the modular infuser may be mounted in a single vending machine."
281,Alcohol,"The invention discloses jujube-flavored white spirit and a brewing process thereof. A preparation method of the liquor comprises the following steps: grinding, steaming and spread-cooling jujube, wheat, sorghum, glutinous rice, corn, rice, pea and rice hull according to certain proportions, uniformly mixing with the addition of yeast powder, sealing and fermenting in pit mud for more than 4 months; beginning to distill after 4 months in a mode of distilling twice every month; ultrasonically processing liquor obtained from distillation firstly, and then storing the liquor together with tourmaline, limonite and medicinal stone in a porcelain jar for more than 6 months, thus completing aging. The liquor overcomes shortcomings in the prior art, and is simple and convenient in operation, short in production cycle, high in liquor yield and good in quality. The jujube-flavored white spirit disclosed by the invention is stable in quality, free from restoring and long in aftertaste, people drinking the white spirit are not easy to become drunk and quick to be sobered up, and the white spirit, after drunk, is free from a problem of headache, free from such harmful material components as methanol, and is capable of relieving pressure on liver and kidney after drinking and effectively relieving damage to body."
282,Non Autonomous,"A vehicle display apparatus includes a display panel to be placed at a position where a driver visually recognizes the display panel and to display information related to vehicle traveling status. The display panel includes a first display area for displaying a first information and a second display area for displaying second information. The vehicle display apparatus further includes a first display control portion for obtaining the first information, and a second display control portion for obtaining the second information and displaying the second information. A vehicle display apparatus includes the display panel which has a third display area for displaying third information and a fourth display area for displaying fourth information. The vehicle display apparatus further includes a third display control portion and a fourth display control portion."
283,Autonomous,"Preventing collision method is recognized the invention discloses the fruit tree for unmanned vehicle operation in orchard, is comprised the following stepsï¼A () fixes metal objects on trunks of fruit treesï¼B () sets non-metal frame on unmanned vehicle, metal detection probe is fixed on non-metal frame, and the detection direction for making metal detection pop one's head in inclines the direction of advance towards unmanned vehicleï¼C () unmanned vehicle, according to the signal feedback that metal detection is popped one's head in, controls the startup of equipment and closes in operation process in orchardï¼When being detected with metal signal, equipment is closedï¼When detecting metal signal disappearance, equipment is restarted.Preventing collision method is recognized it is an object of the invention to provide a kind of fruit tree for unmanned vehicle operation in orchard, to solve the problems, such as easily to hurt fruit tree and by pesticide spraying to fruit tree during weeding in orchard using unmanned vehicle in the prior art, realize that unmanned vehicle can automatically avoid the purpose of fruit tree when cutting weeds."
284,Non-Alcohol,The invention relates to a TRPM8 modulator for achieving a cooling effect on the skin or a mucous membrane.
285,Alcohol,"The invention discloses a gastrodia elata-ganoderma lucidum wine and a preparation method thereof. The invention belongs to health tonic wines for human drinking and especially relates to a health tonic wine prepared by using gastrodia elata and ganoderma lucidum extract concentrates as principal functional raw materials and a preparation thereof. Active ingredients of the health tonic wine are prepared from gastrodia elata, ganoderma lucidum, bighead atractylodes rhizome, ginseng, white poria, cornus pulp, salvia miltiorrhiza, liquorice, crystal sugar and pure grain liquor. The preparation method comprises the following steps: 1) decocting and extracting gastrodia elata, ganoderma lucidum, bighead atractylodes rhizome, ginseng and white poria, then concentrating, drying extract and crushing for later use; 2) mixing and crushing cornus pulp, salvia miltiorrhiza and liquorice into coarse granules and then percolating with Baijiu to obtain a percolated liquid for later use; 3) boiling and melting the crystal sugar for later use; 4) blending the pure grain liquor to a needed alcohol strength for later use; and 5) mixing and stirring the above materials, then standing for aging, filtering and bottling to obtain the gastrodia elata-ganoderma lucidum wine. The preparation method has the advantages of accurate active ingredient control during preparation, rational and scientific raw material compatibility, simple end product wine preparation and small end product color deviation and can be put into large-scale production conveniently. The gastrodia elata-ganoderma lucidum wine contains multiple amino acids, microelements and the like which are necessary for human bodies, so that the gastrodia elata-ganoderma lucidum wine is a nourishing health tonic wine with healthcare functions such as fatigue resistance and immune adjustment."
286,Non Autonomous,"An external environment recognizing device for vehicle includes an image acquiring unit configured to acquire image obtained by picking up image of an area ahead of an own vehicle, a light-source extracting unit configured to extract light source from the acquired image, an own-vehicle-speed acquiring unit configured to acquire own vehicle speed, an oncoming-vehicle-presence-possible-region estimating unit configured to estimate oncoming vehicle presence possible region on the basis of own vehicle speed, and an oncoming-vehicle detecting unit configured to detect an oncoming vehicle on the basis of the oncoming vehicle presence possible region and the light source. The oncoming-vehicle-presence-possible-region estimating unit estimates oncoming vehicle presence possible region on the basis of the own vehicle speed, a minimum curvature radius of traveling road corresponding to a speed limit determined in advance, and traffic information indicating whether driving on the traveling road is driving on the right side or the left side."
287,Autonomous,"The present invention discloses a kind of unmanned vehicle obstacle detection method based on Tegra X1 radar datas, includingï¼Step 1, using velodyne laser radars as sensor gather environmental information, three-dimensional radar data conversion is carried out by NVIDIA Tegra X1 mobile processorsï¼Step 2, the detection of obstacles based on grid, raster data, including three steps are processed using GPUï¼Three-dimensional data points are projected on grating mapï¼All grid relative altitudes are set as obstacle object point more than the grid of certain threshold valueï¼Filter off all because causing the grid that attribute is barrier in the presence of hanging point in grid.Using technical scheme, environmental information is gathered as sensor using velodyne laser radars, based on NVIDIA Tegra X1 mobile processors GPU optimizations, realize that unmanned vehicle detection of obstacles accelerates."
288,Non-Alcohol,"The present invention relates to methicillin-resistant Staphylococcus aureus growth inhibition by lactic acid bacterium strains. More specifically it is directed to the use of lactic acid bacterium strains, compositions comprising lactic acid bacterium strains, methods of use and kits thereof to inhibit the growth of methicillin-resistant Staphylococcus aureus. This invention more specifically relates to the inhibitory effect of lactic acid bacterium strains Lactobacillus acidophilus and Lactobacillus caseion methicillin-resistant Staphylococcus aureus."
289,Alcohol,"The invention relates to a production method of a ginseng fruit wine. The method is characterized by comprising the following steps: 1) thoroughly cleaning the surfaces of the ginseng fruits with clear water and drying for later use; 2) cutting the ginseng fruits in the middles by use of a stainless steel cutting tool and removing the internal capsules; 3) selecting a screw-opening canning bottle good in airtightness as a holding bottle, firstly, cleaning the empty bottle with alkaline water and then sterilizing the bottle by use of boiling water for 15-20 minutes for later use; 4) putting the ginseng fruits into the cleaned and sterilized bottle, injecting high-concentration white spirit and honey into the bottle, wherein the mass ratio of the white spirit to the ginseng fruits to the honey is 5: 5: 1; 5) putting the sealed wine holding container into a shady and cool wine cellar for preservation; and 6) after fermentation, taking out the bottle and labeling for selling."
290,Non Autonomous,A first detector is configured to detect a state where a first area in a touch sensor mounted on a grip portion that a driver grips on a steering wheel is touched. A second detector is configured to detect a state where a particular input operation is performed on a second area located on the upper side of the first area in the touch sensor. A controller is configured to control an operation target device to be operated with the touch sensor according to the particular input operation when the first detector detects the state where the first area is touched and the second detector detects the state where the particular input operation is performed.
291,Autonomous,"The invention discloses a kind of convenient dismounting and the pilotless automobile laser range finder installed, including fixed column, the first screwed hole is offered at the top of the fixed column, the internal whorl of first screwed hole is connected with the first threaded rod, the surface of first threaded rod is fixedly connected with the inner surface of bearing, the outer surface of the bearing is fixedly connected with the inwall for being opened in the perforation of portable plate upper surface, and the quantity of the portable plate is three, and three portable plates join end to end to form a tripod.The present invention is by setting disk, through hole, the second screwed hole and the second threaded rod, hand is put in the lower section rotating second knob of tripod, second threaded rod is screwed into or screwed out the second screwed hole, complete the installation and removal of laser range finder body, it is convenient and swift, without any instrument auxiliary, it is generally to be fixedly mounted on pilotless automobile top to solve laser range finder of the prior art, dismantles and install relatively complicated problem."
292,Non-Alcohol,"An aqueous solution of a soy protein product having a protein content of at least about 60 wt % (NÃ6.25) d.b. which is completely soluble in aqueous media at a pH of less than about 4.4 and heat stable at that pH range is adjusted in pH to a pH of about 6.1 to about 8. The resulting product is further processed by drying the product, recovering and drying any precipitated soy protein material, heat treating and then drying the product, or heat treating the product and recovering and drying any precipitated soy protein material."
293,Alcohol,"The invention discloses a preparation method of a black maca health-preservation wine. The method comprises the following steps: with edible and medicinal raw materials such as black maca, ganoderma lucidum, ginseng, dendrobium and cinnamon, soaking with low-degree glutinous rice wine; and filtering, ultrasonically refining, and magnetizing, so as to prepare the health-preservation wine. The method is low in cost; the preparation technology is easy to grasp; and the health-preservation effects are accurate."
294,Non Autonomous,"A vehicle lamp that includes components structured to be simply coupled to each other. The vehicle lamp includes a light source unit that emits light, a metal plate onto which the light source unit is mounted on a surface thereof and dissipates heat generated from the light source unit, and a fixing plate that is coupled to the metal plate and supports the metal plate. A coupling protrusion is formed on any one of the metal plate and the fixing plate, a coupling groove coupled to the coupling protrusion is formed in the other one of the metal plate and the fixing plate, and the metal plate includes two or more walls that face each other and a connection surface which connects the walls."
295,Autonomous,"The method of testing and checkout area of dynamic barrier ability are avoided the present invention relates to automatic driving vehicle technical field of performance test, more particularly to a kind of automatic driving vehicle.The checkout area that above-mentioned checkout area and method of testing are used includes road and dynamic barrier, scene is arranged as controlling dynamic barrier to be moved according to the moving line that the travel route with vehicle to be measured intersects, and controls dynamic barrier to be moved not made in the way of meeting is in the intersection of travel route and moving line with vehicle collision to be measured in the case that avoidance is acted in vehicle to be measured.So more it is close to true running environment so that test result can more accurately show avoidance ability of the vehicle to be measured to dynamic barrier, also, safer relative to by the way of being tested using real road.Further, above-mentioned checkout area and method of testing are available for the test of different automatic driving vehicles to use, and then cause that test result is more authoritative and reliable."
296,Non-Alcohol,"This relates to a food product comprising a biscuit part and a filling part, the filling part including a water-based filling and an anhydrous filling with live lactic cultures. The water-based filling and the anhydrous filling are distinct. The anhydrous filling has a lactic ferment cell count per gram of the anhydrous filling of at least 105 cfu/g, preferably 106 cfu/g, more preferably 107 cfu/g, the food product presenting a decay rate of the lactic cultures of at most 0.25 log10 per month."
297,Alcohol,"The invention discloses a beauty and healthcare wine and a preparation method thereof, and relates to the field of healthcare drink. The beauty and healthcare wine is prepared from the following raw materials in parts by weight: 30 parts of longan, 30 parts of jujuba, 30 parts of lotus seeds, 10 parts of wolfberry, 10 parts of angelica sinensis, 10 parts of polygonum multiflorum, 5 parts of peach kernel, 5 parts of radix angelicae, 5 parts of ligusticum wallichii, 5 parts of lotus leaves, 5 parts of hawthorn, 2 parts of herba leonuri, 2 parts of pseudo-ginseng powder, 100 parts of rock candy and 5000 parts of Chinese white spirit of 36-52 degrees. The raw materials and rock candy are soaked in Chinese white spirit and air-tightly stored for 20-30 days. The beauty and healthcare wine is capable of harmonizing the spleen and the stomach and qi and blood of the liver and the kidneys, and harmonizing and smoothening qi and blood from improving the condition of excess or deficiency of yin and yang in an organism, conditioning the balance of yin and yang, internal organs, and qi and blood of a human body from the whole, accelerating absorption and digestion of the stomach and the spleen, and adjusting the functions of the human body according to the dialectical thought of the traditional Chinese medicine, so as to reach the targets of promoting qi to activate blood, maintaining beauty and keeping young."
298,Non Autonomous,"A security apparatus prevents the unauthorized movement of a motor vehicle comprising a fluid braking system including brake fluid actuator for pushing brake fluid from a reservoir into a fluid line in fluid communication with brake assemblies acting on motor vehicle wheel. The apparatus comprises a base portion and an upper portion upwardly extending from the base portion. The upper portion comprises a top end with having a top opening. The upper portion defines a cavity therein and comprises a separator wall separating the channel and the cavity. The separator includes an opening leading to the channel. A closure is movably mounted to top end of the upper portion and is biased to the closed position for closing the top opening. A valve structure comprises a top valve portion, a stem extending from the top valve portion and a valve depending from the stem. The valve structure is movably positioned within the cavity and comprises an actuator for being engaged via the top opening. The stem extends through the separator wall opening. The valve is in the channel and is movable for closing and opening the channel to respectively block and unblock fluid flow therethrough. Selective movement of the top valve portion by way of the actuator provides for moving the valve,"
299,Autonomous,"This application discloses the method and apparatus of the traveling precision for measuring automatic driving vehicle.One specific embodiment of the method includesï¼In real time obtain at least one laser radar collection automatic driving vehicle it is anticipated that driving path traveling during laser point cloud dataï¼According to laser point cloud data, the actual travel trajectory coordinates point sequence of automatic driving vehicle is generatedï¼According to actual travel trajectory coordinates point sequence and expected driving path, automatic driving vehicle is determined it is anticipated that the traveling precision of driving path traveling.The automatic control system and mechanical system of the test automatic driving vehicle that the implementation method realizes by measuring the traveling precision of automatic driving vehicle to quantify."
300,Non-Alcohol,"Adapters for consumable product packages and methods of using same are provided. The adapters are designed to provide functional features to packages that are not structurally capable of providing such functions. The functional features may include, for example, spill-resistance, flow-control, ease of use, etc. In a general embodiment, the adapters of the present disclosure include a valve comprising an outlet and a cap that is so constructed and arranged to seal the valve. The valve is so constructed and arranged to provide a functional feature and to attach to a package fitment. In another embodiment, packages are provided that include two-component adapters configured to provide specific functional features to the packages."
301,Alcohol,"The invention provides a making method of household loquat liquor. The making method of household loquat liquor is characterized in that raw materials comprise 300g of loquat, 50ml of edible alcohol and 200g of rock sugar, and the method comprises the following steps: 1, selecting ripe and fresh loquat, washing loquat, peeling, and removing seeds; 2, putting rock sugar in a pot, boiling, and immersing loquat in the rock sugar for 2h; 3, taking a clean container, adding the edible alcohol, adding the above obtained loquat mixed liquid, and uniformly stirring; and 4, standing, storing the obtained liquid in a shady place for 2 months, filtering, removing residues, and taking the obtained liquor which can be immediately drunk and is the fresh loquat liquor. The method has the characteristics of low cost and simple operation, and the loquat liquor has the efficacies of lung moistening, cough relieving, thirst quenching, stomach harmonizing, urination promoting and heat clearing, and can be used for treating lung flaccidity coughs, chest distress and excessive phlegm."
302,Non Autonomous,"The invention relates to an add-on part on a vehicle body, wherein a plurality of body hinge halves are installed on the vehicle body, in each case by using a first reference point system comprising body reference points. In addition, at least one vehicle transverse axis coordinate of the installed body hinge halves is measured. A plurality of add-on part hinge halves are installed on the add-on part, in each case by using the first reference point system and a second reference point system comprising add-on part reference points. At least one correction value for the add-on part hinge halves with regard to the transformed arrangement of the add-on part hinge halves in the vehicle transverse axis is determined from the measured vehicle transverse axis coordinate of the body hinge halves, and the at least one correction value is used in the installation of the add-on part hinge halves."
303,Autonomous,"The present invention relates to a kind of automatic driving vehicle high-precision locating method based on Multi-information acquisition, can apply in the middle of the environment sensing and intelligent decision of automatic driving vehicle.The present invention is positioned when realizing high-precision real using the cooperation of offline map and online awareness information.Seal records the Traffic Information of automatic driving vehicle running region offline.Online awareness information includes lane line and road boundary.When automatic driving vehicle is travelled in map area, the location information be given according to inertia combined navigation system determines the Position Approximate of vehicle, obtain the local map near position, the lane line of vehicle front and the road boundary on vehicle both sides are detected by onboard sensor, determine vehicle and lane line and the relative position of road boundary, position of the contrast vehicle in map calculates deviation, amendment position error, realizes high accuracy positioning."
304,Non-Alcohol,"A refrigerator having a curd maker to make curd directly disposed in a refrigerating compartment wherein curd is made by the curd maker disposed in the refrigerating compartment and is kept fresh. The refrigerator includes a curd maker provided in a refrigerating compartment to ferment milk into curd, wherein the curd maker includes a case including an outer case forming an external appearance of the case and an inner case provided in the outer case, an insulation member provided between the outer case and the inner case, a curd container received in the inner case to store milk, a heater provided between the inner case and the insulation member to heat the curd container, a fan to supply cool air from the refrigerating compartment to the curd container to cool the curd container, and a temperature sensor to measure temperature in the curd maker."
305,Alcohol,"The invention relates to a making method of simple black raisin liquor. Main materials for making the simple black raisin liquor comprise 500g of black raisin and 1L of sorghum liquor. The method comprises the following steps: preparing 500g of no-clean black raisins, putting the black raisins in a bottle provided with 1L of the sorghum liquor, and sealing for 1 month to obtain the simple black raisin liquor which can be immediately drunk. The method has the characteristics of ultralow cost and very simple enforcement, and the black raisin liquor can enrich qi blood and warm kidney, has good curative effects on anaemia and thrombocytopenia, has a good nourishing effect on neurasthenia and over fatigue people, and is a good dietotherapy food for people with gynaecological diseases."
306,Non Autonomous,"An apparatus (14) configured to position at least one mobile device (18) connectable by a cable (74) for use in a vehicle interior includes a base (22) providing a compartment (26) and a cover (34) for the compartment (26) movable to an open position providing a cradle (54a, 54b, 54c) for at least one mobile device (18) wherein the cradle (54a, 54b, 54c) is provided on an underside of the cover (34)."
307,Autonomous,"The present invention provides a kind of AUV underwater terrain matching critical subset segmentation methods based on fuzzy entropy, and priori map is divided into several grids by oneï¼Sub- map in two pairs of each grids asks for its terrain entropy, terrain variance entropy, landform standard deviationï¼Three determine to be common to the membership function and fuzzy rule of the terrain entropy of global map and the weight relationship of terrain variance entropy, landform standard deviation and terrain entropy weightï¼The four sub- maps in each grid according to its landform standard deviation, the weight relationship of terrain entropy and terrain variance entropy, the membership function and fuzzy rule of terrain entropy weight solve the adaptation ability of sub- map in the gridï¼Five is to divide adaptive area according to sub- map adaptation ability obtained in the previous step.The size that terrain entropy and terrain variance entropy influence on landform suitability under fairly comprehensive consideration of the present invention different terrain, can preferably react some region of suitability degree."
308,Non-Alcohol,"The present invention relates to a novel a process for the preparation of 9-dichloromethylene-1,2,3,4-tetrahydro-1,4-methano-naphthalen-5-ylamine which process comprises a) reacting cyclopentadiene in the presence of a radical initiator and CXCl3, wherein X is chloro or bromo, to a compound of formula I1, or aa) reacting cyclopentadiene with CXCl3, wherein X is chloro, in the presence of a metal catalyst to a compound of formula I1, wherein X is chloro, b) reacting the compound of formula I1 with a base in the presence of an appropriate solvent to the compound of formula III, c) and converting the compound of formula III in the presence of 1,2-dehydro-6-nitrobenzene to the compound of formula IV, and d) hydrogenating the compound of formula IV in the presence of a metal catalyst."
309,Alcohol,"The invention relates to a making method of simple shaddock fruit wine. The method comprises the processes of cleaning, peeling, sealing and distilling, and concretely comprises the following steps: 1, cleaning shaddock, removing water, peeling, and taking 500g of shaddock pulp and 100g of shaddock peel for later use; 2, putting the shaddock pulp and the shaddock peel in a fruit wine sealing pot, pouring distilled liquor, closely covering the pot with a cover, and standing for about 1 week to obtain shaddock fruit wine which can be immediately drunk; and 3, blending the shaddock fruit wine with soda water, syrup and ice cubes to prepare an ice shaddock wine which can be drunk before meal. The method has the advantages of simple burdening and making process, low cost, and suitableness for household making and drinking. The simple shaddock fruit wine has the efficacies of stomach strengthening, lung moistening, blood enriching, intestine cleaning and bowel relaxing, can promote wound healing, and has a good auxiliary treatment effect on sapremia."
310,Non Autonomous,"A method of applying stitching to an interior component is provided herein. The interior component having only a single layer of a substrate layer. The method including the steps of: a) penetrating substrate layer with an awl to form a piercing therethrough; b) retracting the awl from the substrate layer; c) inserting a needle of a robotic sewing head through the piercing through the substrate layer to grasp a thread positioned on a show surface of the outer skin layer; d) pulling the thread through the substrate layer; e) looping the thread with a previous stitch passed through the substrate layer; f) advancing the robotic sewing head to another position with respect to the interior component, wherein a backside of the substrate layer is free of obstructions; and g) repeating steps a-f until a predetermined amount of stitches are applied to the interior component."
311,Autonomous,"The present invention discloses a kind of AUV underwater navigation localization methods based on SINS/USBL tight integrations, it is made up of strapdown inertial navigation system SINS and ultra short base line USBL, ultra short base line is made up of the sound source that the hydrophone reception basic matrix and cloth on AUV are placed on seabed, the propagation time for reaching basic matrix central hydrophone by sound wave calculates oblique distance, sound wave is obtained by frequency domain weighting cross-correlation and reaches two delay inequalitys of hydrophone in basic matrix reference axis, so as to calculate up to range difference, the oblique distance and arrival range difference that the oblique distance and arrival range difference of USBL outputs are calculated with SINS are filtered, filtering exports feedback compensation SINS again.The present invention solves the problems, such as that SINS long-times site error is accumulated, the oblique distance and arrival range difference that USBL is calculated using oblique distance and arrival range difference with SINS carry out tight integration, the coordinate conversion error and basic matrix offset error for avoiding USBL directly calculations band of position from, improve the positioning precision of AUV."
312,Non-Alcohol,"The present invention relates to a method for preparing a syrupy product comprising vitamins, said method comprising the following steps: a) inerting all the apparatuses implemented in the method b) inserting sugar syrup into said apparatuses and adding vitamins under inert atmosphere; c) adding dehydrated and deoxygenated glucose under inert atmosphere; d) deoxygenating the syrupy product formed in this way; e) packaging the syrupy product under inert atmosphere."
313,Alcohol,"The invention relates to a formula of a strawberry wine with a skin moistening efficacy, and a making technology of the strawberry wine. The formula adopts fresh strawberries as a raw material, and water is added according to a ratio of 3:4 to adjust the sugar content to 20-25%. The technology comprises the following steps: cleaning the fresh strawberries, disinfecting, triturating to prepare a pulp juice, adding a proper amount of sugar, adding water according to a ratio of 3:4 to adjust the sugar content to 20-25%, adding SO2 according to a ratio of SO2/liquid of 0.7-0.9g/L, and adding a proper amount of 2-hydroxysuccinic acid to adjust the pH value to 5-6. Strawberries contain abundant vitamin C and citric acid, so the strawberry wine is very helpful for beauty treatment, can improve hypotension and anaemia symptoms, and is very suitable for healed people to drunk in order to facilitate muscle power recovery."
314,Non Autonomous,"The present invention relates to a vehicle head lamp driving apparatus and a vehicle provided with the same. The vehicle head lamp driving apparatus of the present invention comprises: a light output unit for outputting structured visible light to the front of a vehicle; a light receiving unit for receiving reception light corresponding to the structured visible light; and a processor for detecting a distance to and a location of an object positioned in front of the vehicle, on the basis of the received reception light and structured visible light, wherein the light output unit comprises: a laser diode for outputting structured visible light having a first color; a light conversion unit for converting, into structured visible light having second and third colors, at least a part of the structured visible light having the first color; and a light diffusing unit for diffusing and outputting the structured visible light having the first to third colors to the front of the vehicle. Therefore, the distance to the object in front of the vehicle can be detected on the basis of visible light."
315,Autonomous,"The invention discloses a kind of headlight for vehicles of the anti-misty rain of pilotless automobile, including car body, headlight installing plate, bulb and outer lampshade, headlight installing plate is located at the two ends of Vehicular body front, bulb is located at the surface of headlight installing plate, outer lampshade is screwed in the two ends of headlight installing plate, the side of the bulb is provided with interior lampshade, surface of the two ends of the interior lampshade respectively with headlight installing plate two ends is connected, photosensitive sensors are provided with below the bulb, the top of the outer lampshade is provided with baffle plate.The hot blast that the present invention is conveyed on-board air conditioner by setting baffle plate is completely used outer lampshade; reach and improved the intensity that the hot blast of on-board air conditioner is purged to outer lampshade water droplet; simultaneously; preventing water droplet carries out the advantage inside headlight by passage, by setting interior lampshade, has reached and bulb is protected; prevent cold air from entering from passage; bulb is affected, meanwhile, increased the service life of bulb."
316,Non-Alcohol,"Ready to drink beverages are provided. In a general embodiment, the present disclosure provides a ready to drink high-protein chocolate beverage including a protein component, a cocoa component, and a stabilizing system. The protein component may be present in an amount from about 4% to about 12% by weight of the beverage. The stabilizing system includes sodium hexamethaphosphate and a hydrocolloid component."
